"","Airline","Aircraft","FlightDuration","TravelMonth","IsInternational","SeatsEconomy","SeatsPremium","PitchEconomy","PitchPremium","WidthEconomy","WidthPremium","PriceEconomy","PricePremium","PriceRelative","SeatsTotal","FractionPremiumSeats","PitchDifference","WidthDifference"
"345","Jet","Boeing",3.08,"Aug","International",138,28,30,40,17,21,354,524,0.48,166,0.17,10,4
"346","Jet","Boeing",3.08,"Sep","International",138,28,30,40,17,21,354,524,0.48,166,0.17,10,4
"347","Jet","Boeing",3.08,"Oct","International",138,28,30,40,17,21,354,524,0.48,166,0.17,10,4
"348","Jet","Boeing",2.58,"Aug","International",162,8,30,40,17,21,380,550,0.45,170,0.05,10,4
"349","Jet","Boeing",2.58,"Sep","International",162,8,30,40,17,21,380,550,0.45,170,0.05,10,4
"350","Jet","AirBus",8.91,"Sep","International",147,21,32,38,18,19,557,789,0.42,168,0.13,6,1
"351","Jet","AirBus",8.91,"Oct","International",147,21,32,38,18,19,557,789,0.42,168,0.13,6,1
"352","Jet","AirBus",9.5,"Sep","International",147,21,32,38,18,19,661,928,0.4,168,0.13,6,1
"353","Jet","AirBus",8.91,"Aug","International",147,21,32,38,18,19,676,931,0.38,168,0.13,6,1
"354","Jet","Boeing",3.25,"Jul","International",162,8,30,40,17,21,505,696,0.38,170,0.05,10,4
"355","Jet","Boeing",3.08,"Aug","International",138,28,30,40,17,21,464,616,0.33,166,0.17,10,4
"356","Jet","Boeing",3.08,"Sep","International",138,28,30,40,17,21,464,616,0.33,166,0.17,10,4
"357","Jet","Boeing",3.08,"Oct","International",138,28,30,40,17,21,464,616,0.33,166,0.17,10,4
"358","Jet","Boeing",3.08,"Jul","International",138,28,30,40,17,21,489,616,0.26,166,0.17,10,4
"359","Jet","Boeing",3.25,"Jul","International",124,16,30,40,17,21,594,696,0.17,140,0.11,10,4
"360","Jet","Boeing",2.58,"Jul","International",162,8,30,40,17,21,510,569,0.12,170,0.05,10,4
"361","Singapore","Boeing",13.91,"Aug","International",184,28,32,38,19,20,794,1671,1.11,212,0.13,6,1
"362","Singapore","AirBus",13.33,"Jul","International",333,36,32,38,19,20,505,1004,0.99,369,0.1,6,1
"363","Singapore","AirBus",13.33,"Aug","International",333,36,32,38,19,20,505,1004,0.99,369,0.1,6,1
"364","Singapore","AirBus",13.33,"Sep","International",333,36,32,38,19,20,505,1004,0.99,369,0.1,6,1
"365","Singapore","AirBus",13.33,"Oct","International",333,36,32,38,19,20,505,1004,0.99,369,0.1,6,1
"366","Singapore","AirBus",6.16,"Jul","International",333,36,32,38,19,20,505,1004,0.99,369,0.1,6,1
"367","Singapore","AirBus",6.16,"Aug","International",333,36,32,38,19,20,505,1004,0.99,369,0.1,6,1
"368","Singapore","AirBus",6.16,"Sep","International",333,36,32,38,19,20,505,1004,0.99,369,0.1,6,1
"369","Singapore","AirBus",6.16,"Oct","International",333,36,32,38,19,20,505,1004,0.99,369,0.1,6,1
"370","Singapore","Boeing",13.91,"Sep","International",184,28,32,38,19,20,794,1452,0.83,212,0.13,6,1
"371","Singapore","Boeing",13.91,"Oct","International",184,28,32,38,19,20,794,1452,0.83,212,0.13,6,1
